"Geschlecht","Groesse","Alter","Gewicht","Studienrichtung","Abschluss","Job","Jobdauer","Vorbildung","Geburtsjahr","Plz","Ort","Bundesland"
"w",169,22,71,"Philosophie","Master","ja",22,"AHS",2000,9132,"Gallizien","K"
"w",180,20,72,"Anglistik und Amerikanistik","Master","ja",18,"AHS",2002,9441,"Twimberg","K"
"w",170,18,81,"Wirtschaft und Recht","Master","nein",0,"Ausl",2004,9232,"Rosegg","K"
"w",168,20,61,"Germanistik","Master","ja",9,"Sonst",2002,9161,"Maria Rain","K"
"w",162,21,54,"Angewandte Informatik","PhD","nein",0,"Sonst",2001,9421,"Eitweg","K"
"w",179,23,87,"Robotics and Artificial Intelligence","PhD","ja",16,"AHS",1999,9141,"Eberndorf","K"
"w",161,19,60,"Geschichte","Master","ja",16,"AHS",2003,9061,"Klagenfurt-Wölfnitz","K"
"w",173,21,64,"Medien- und Kommunikationswissenschaften","Master","nein",0,"AHS",2001,9504,"Villach-Warmbad Villach","K"
"m",187,19,90,"Anglistik und Amerikanistik","Bachelor","ja",30,"HAK",2003,9531,"Kreuth","K"
"w",163,24,58,"Geschichte","Master","nein",0,"HAK",1998,9232,"Rosegg","K"
"m",148,20,51,"Betriebswirtschaft","PhD","ja",20,"Sonst",2002,9520,"Sattendorf","K"
"m",171,23,72,"Geschichte","Master","ja",7,"HAK",1999,9520,"Sattendorf","K"
"w",166,19,57,"Angewandte Kulturwissenschaft","Master","ja",15,"HBLA",2003,9602,"Thörl-Maglern","K"
"w",152,22,53,"Geographie","Master","nein",0,"Sonst",2000,9572,"Deutsch Griffen","K"
"w",152,21,51,"Angewandte Informatik","Master","nein",0,"Ausl",2001,9027,"Klagenfurt am Wörthersee","K"
"m",181,24,97,"Robotics and Artificial Intelligence","Master","ja",18,"HAK",1998,9640,"Kötschach-Mauthen","K"
"w",140,20,40,"Wirtschaft und Recht","Master","nein",0,"HAK",2002,9803,"Spittal an der Drau","K"
"m",176,19,80,"Betriebswirtschaft","Bachelor","nein",0,"Ausl",2003,9034,"Klagenfurt","K"
"m",172,25,80,"Robotics and Artificial Intelligence","Master","ja",20,"HBLA",1997,9832,"Stall","K"
"m",169,21,80,"Slawistik","PhD","ja",22,"Ausl",2001,9503,"Villach","K"
"m",175,20,55,"Robotics and Artificial Intelligence","Master","nein",0,"HTL",2002,9132,"Gallizien","K"
"w",162,22,60,"Psychologie","PhD","ja",23,"AHS",2000,9302,"St. Veit an der Glan","K"
"m",176,21,70,"Wirtschaftsinformatik","Master","ja",16,"Ausl",2001,9615,"Görtschach","K"
"m",175,20,60,"Erziehungs- und Bildungswissenschaft","PhD","ja",22,"AHS",2002,9556,"Liebenfels","K"
"w",158,19,56,"Wirtschaft und Recht","Master","nein",0,"Ausl",2003,9813,"Möllbrücke","K"
"w",164,18,59,"Medien- und Kommunikationswissenschaften","Master","ja",16,"HTL",2004,9822,"Mallnitz","K"
"w",173,22,77,"Technische Mathematik","Master","nein",0,"HBLA",2000,9521,"Treffen","K"
"m",179,21,65,"Informationstechnik","Bachelor","nein",0,"AHS",2001,9536,"St. Egyden","K"
"m",186,19,66,"Informationstechnik","Bachelor","nein",0,"Ausl",2003,9121,"Tainach","K"
"m",172,23,61,"Geschichte","Bachelor","ja",20,"HBLA",1999,9311,"Kraig","K"
"w",167,19,75,"International Business and Economics","Bachelor","nein",0,"HAK",2003,9521,"Treffen","K"
"w",166,24,59,"Anglistik und Amerikanistik","PhD","nein",0,"HBLA",1998,9625,"St. Stefan an der Gail","K"
"m",168,20,63,"International Business and Economics","Bachelor","ja",13,"HBLA",2002,9027,"Klagenfurt am Wörthersee","K"
"m",167,28,73,"Angewandte Kulturwissenschaft","Master","ja",3,"Sonst",1994,9560,"Feldkirchen in Kärnten","K"
"m",189,19,67,"Wirtschaftsinformatik","Bachelor","ja",7,"Ausl",2003,9802,"Spittal an der Drau","K"
"w",155,21,52,"Geschichte","Bachelor","nein",0,"HBLA",2001,9375,"Hüttenberg","K"
"m",182,21,79,"Robotics and Artificial Intelligence","PhD","ja",5,"AHS",2001,9587,"Riegersdorf","K"
"w",160,21,59,"Angewandte Informatik","Master","nein",0,"HAK",2001,9024,"Klagenfurt am Wörthersee","K"
"m",165,25,75,"Angewandte Kulturwissenschaft","Master","ja",7,"AHS",1997,9064,"Pischeldorf","K"
"w",150,18,48,"Wirtschaftsinformatik","Master","nein",0,"AHS",2004,9536,"St. Egyden","K"
"w",152,23,56,"Slawistik","PhD","ja",35,"Ausl",1999,9125,"Kühnsdorf","K"
"w",146,28,46,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"AHS",1994,9852,"Trebesing","K"
"w",155,25,54,"Robotics and Artificial Intelligence","Master","ja",2,"HAK",1997,9571,"Sirnitz","K"
"m",182,19,85,"Wirtschaftsinformatik","Master","ja",7,"Ausl",2003,9302,"St. Veit an der Glan","K"
"m",169,21,56,"Betriebswirtschaft","Master","ja",14,"Ausl",2001,9634,"Gundersheim","K"
"m",188,19,83,"Angewandte Informatik","Master","ja",8,"HAK",2003,9602,"Thörl-Maglern","K"
"w",161,22,60,"Romanistik","Master","nein",0,"Ausl",2000,9582,"Latschach","K"
"m",166,20,48,"Technische Mathematik","Master","nein",0,"Sonst",2002,9033,"Klagenfurt","K"
"m",172,21,78,"Geographie","Master","nein",0,"HBLA",2001,9210,"Pörtschach am Wörther See","K"
"w",157,26,57,"International Business and Economics","PhD","ja",17,"Ausl",1996,9622,"Weißbriach","K"
"m",170,23,108,"Angewandte Kulturwissenschaft","PhD","ja",9,"Ausl",1999,9132,"Gallizien","K"
"m",174,18,78,"Erziehungs- und Bildungswissenschaft","Bachelor","nein",0,"AHS",2004,9461,"Prebl","K"
"w",163,20,59,"Anglistik und Amerikanistik","PhD","nein",0,"AHS",2002,9601,"Arnoldstein","K"
"m",180,18,82,"Psychologie","Master","ja",17,"HTL",2004,9504,"Villach-Warmbad Villach","K"
"w",166,21,58,"Romanistik","PhD","ja",17,"HBLA",2001,9640,"Kötschach-Mauthen","K"
"w",168,21,49,"Betriebswirtschaft","PhD","ja",27,"AHS",2001,9651,"St. Jakob im Lesachtal","K"
"m",175,20,78,"Slawistik","Bachelor","ja",19,"AHS",2002,9562,"Himmelberg","K"
"m",168,24,57,"Medien- und Kommunikationswissenschaften","Bachelor","ja",12,"AHS",1998,9508,"Villach","K"
"m",178,18,84,"Wirtschaftsinformatik","Master","nein",0,"Ausl",2004,9520,"Sattendorf","K"
"m",177,20,83,"Robotics and Artificial Intelligence","Bachelor","ja",30,"Sonst",2002,9572,"Deutsch Griffen","K"
"w",159,22,59,"Psychologie","Master","ja",19,"Ausl",2000,9022,"Klagenfurt am Wörthersee","K"
"m",171,21,52,"Angewandte Informatik","Master","ja",9,"AHS",2001,9431,"St. Stefan","K"
"m",183,22,74,"Informationstechnik","Master","ja",19,"Ausl",2000,9541,"Einöde","K"
"m",185,25,75,"Erziehungs- und Bildungswissenschaft","Master","ja",20,"HAK",1997,9181,"Feistritz im Rosental","K"
"m",175,20,84,"Slawistik","PhD","nein",0,"HTL",2002,9541,"Einöde","K"
"w",159,18,66,"Psychologie","Master","ja",19,"Ausl",2004,9500,"Villach","K"
"w",175,20,77,"Romanistik","PhD","nein",0,"HAK",2002,9562,"Himmelberg","K"
"w",152,19,51,"Romanistik","Master","ja",15,"Ausl",2003,9584,"Finkenstein","K"
"w",155,22,53,"Germanistik","Master","nein",0,"AHS",2000,9104,"Pustritz","K"
"m",181,24,72,"Technische Mathematik","PhD","ja",19,"HAK",1998,9633,"Reisach","K"
"m",167,21,55,"Romanistik","Master","nein",0,"Ausl",2001,9814,"Mühldorf","K"
"w",169,20,78,"Geschichte","Bachelor","ja",12,"HBLA",2002,9712,"Fresach","K"
"m",166,18,60,"Robotics and Artificial Intelligence","Master","ja",16,"AHS",2004,9163,"Unterbergen","K"
"m",178,23,63,"Philosophie","Master","ja",17,"HTL",1999,9843,"Großkirchheim","K"
"m",173,19,57,"Geographie","PhD","ja",18,"Ausl",2003,9104,"Pustritz","K"
"w",169,19,64,"Psychologie","Master","nein",0,"HAK",2003,9421,"Eitweg","K"
"w",173,20,59,"Angewandte Informatik","Bachelor","ja",27,"Sonst",2002,9184,"St. Jakob im Rosental","K"
"m",173,18,77,"Romanistik","Master","nein",0,"HAK",2004,9162,"Strau","K"
"w",167,23,69,"Angewandte Kulturwissenschaft","Master","nein",0,"Ausl",1999,9536,"St. Egyden","K"
"m",160,23,58,"Philosophie","Bachelor","nein",0,"Ausl",1999,9541,"Einöde","K"
"w",160,22,58,"Angewandte Informatik","Master","nein",0,"AHS",2000,9184,"St. Jakob im Rosental","K"
"m",164,23,60,"Technische Mathematik","Master","nein",0,"Ausl",1999,9543,"Arriach","K"
"m",176,21,63,"Medien- und Kommunikationswissenschaften","Master","nein",0,"HBLA",2001,9346,"Glödnitz","K"
"m",174,20,82,"Philosophie","Bachelor","ja",15,"Ausl",2002,9523,"Villach-Landskron","K"
"w",160,23,56,"Angewandte Informatik","Bachelor","ja",8,"HAK",1999,9623,"St. Stefan an der Gail","K"
"w",160,24,59,"Betriebswirtschaft","Bachelor","nein",0,"HBLA",1998,9510,"Villach","K"
"w",170,25,78,"Robotics and Artificial Intelligence","PhD","ja",10,"Ausl",1997,9803,"Spittal an der Drau","K"
"m",173,23,73,"Romanistik","Master","ja",10,"Ausl",1999,9212,"Techelsberg am Wörther See","K"
"w",177,21,94,"Geschichte","Bachelor","ja",13,"Ausl",2001,9536,"St. Egyden","K"
"m",159,21,56,"Geographie","Bachelor","ja",14,"Ausl",2001,9570,"Ossiach","K"
"w",165,19,83,"Romanistik","Bachelor","ja",11,"AHS",2003,9781,"Oberdrauburg","K"
"m",191,32,81,"Robotics and Artificial Intelligence","Master","ja",18,"AHS",1990,9184,"St. Jakob im Rosental","K"
"w",153,23,51,"Informationstechnik","Master","ja",9,"Ausl",1999,9026,"Klagenfurt am Wörthersee","K"
"w",156,18,52,"Philosophie","Master","ja",10,"Sonst",2004,9411,"St. Michael","K"
"m",171,18,63,"Germanistik","Master","ja",16,"Sonst",2004,9508,"Villach","K"
"w",163,29,72,"Anglistik und Amerikanistik","Master","nein",0,"HBLA",1993,9400,"Wolfsberg","K"
"m",172,20,77,"Romanistik","Master","nein",0,"AHS",2002,9172,"Zell-Pfarre","K"
"w",158,23,58,"Romanistik","Bachelor","nein",0,"HAK",1999,9812,"Pusarnitz","K"
"m",189,24,71,"Technische Mathematik","Master","ja",18,"AHS",1998,9132,"Gallizien","K"
"m",175,29,82,"Anglistik und Amerikanistik","Bachelor","ja",13,"Ausl",1993,9412,"St. Margarethen im Lavanttal","K"
"w",171,19,55,"Romanistik","Bachelor","nein",0,"AHS",2003,9507,"Villach","K"
"w",138,19,38,"International Business and Economics","Bachelor","ja",16,"AHS",2003,9143,"St. Michael ob Bleiburg","K"
"m",183,21,94,"Medien- und Kommunikationswissenschaften","Master","nein",0,"Ausl",2001,9624,"Egg","K"
"w",172,19,43,"Geographie","Master","nein",0,"HBLA",2003,9635,"Dellach","K"
"w",158,22,59,"Wirtschaft und Recht","Master","ja",26,"Sonst",2000,9544,"Feld am See","K"
"w",160,19,58,"Betriebswirtschaft","PhD","ja",10,"Ausl",2003,9074,"Keutschach","K"
"w",175,24,67,"Informationstechnik","PhD","ja",19,"AHS",1998,9104,"Pustritz","K"
"m",174,19,77,"Robotics and Artificial Intelligence","Bachelor","nein",0,"HAK",2003,9451,"Preitenegg","K"
"m",182,19,87,"Angewandte Informatik","PhD","nein",0,"HAK",2003,9844,"Heiligenblut","K"
"m",179,21,70,"Medien- und Kommunikationswissenschaften","Bachelor","ja",13,"HTL",2001,9342,"Gurk","K"
"w",161,20,63,"Robotics and Artificial Intelligence","Master","ja",15,"AHS",2002,9831,"Flattach","K"
"m",172,25,75,"Wirtschaftsinformatik","Bachelor","nein",0,"Ausl",1997,9143,"St. Michael ob Bleiburg","K"
"w",151,21,53,"Informationstechnik","Master","ja",9,"HAK",2001,9510,"Villach","K"
"m",157,24,59,"Germanistik","Bachelor","nein",0,"AHS",1998,9135,"Bad Eisenkappel","K"
"w",162,22,60,"Betriebswirtschaft","Master","ja",33,"Ausl",2000,9563,"Gnesau","K"
"w",164,19,55,"Germanistik","Master","ja",3,"HBLA",2003,9433,"St. Andrä","K"
"m",170,21,61,"Medien- und Kommunikationswissenschaften","Bachelor","ja",15,"Sonst",2001,9462,"Bad St. Leonhard im Lavanttal","K"
"m",179,20,81,"Medien- und Kommunikationswissenschaften","Master","nein",0,"Ausl",2002,9653,"Liesing","K"
"m",178,21,66,"International Business and Economics","Master","ja",21,"AHS",2001,9861,"Eisentratten","K"
"m",171,20,52,"Romanistik","Bachelor","nein",0,"Ausl",2002,9811,"Lendorf","K"
"m",174,22,97,"International Business and Economics","PhD","ja",12,"AHS",2000,9330,"Treibach-Althofen","K"
"w",172,20,56,"Erziehungs- und Bildungswissenschaft","PhD","ja",20,"Sonst",2002,9622,"Weißbriach","K"
"w",165,20,66,"Erziehungs- und Bildungswissenschaft","PhD","ja",10,"HBLA",2002,9501,"Villach","K"
"m",180,21,82,"International Business and Economics","Bachelor","ja",17,"AHS",2001,9509,"Zauchen","K"
"w",166,23,67,"Angewandte Kulturwissenschaft","Master","nein",0,"Ausl",1999,9181,"Feistritz im Rosental","K"
"w",176,18,77,"Germanistik","PhD","nein",0,"AHS",2004,9027,"Klagenfurt am Wörthersee","K"
"m",175,21,66,"Slawistik","Master","nein",0,"HAK",2001,9772,"Dellach","K"
"m",166,19,52,"Geographie","Master","nein",0,"Ausl",2003,9155,"Neuhaus","K"
"m",170,22,70,"Psychologie","Master","nein",0,"AHS",2000,9615,"Görtschach","K"
"w",164,22,58,"Psychologie","Master","ja",5,"HBLA",2000,9182,"Maria Elend","K"
"m",172,22,57,"Geschichte","Master","nein",0,"HAK",2000,9722,"Gummern","K"
"w",161,18,52,"Technische Mathematik","Master","ja",12,"AHS",2004,9851,"Lieserbrücke","K"
"m",179,18,68,"Anglistik und Amerikanistik","Master","ja",12,"Ausl",2004,9816,"Penk","K"
"w",156,20,54,"Geographie","PhD","ja",6,"HBLA",2002,9132,"Gallizien","K"
"m",159,20,59,"Philosophie","Master","ja",12,"Ausl",2002,9025,"Klagenfurt am Wörthersee","K"
"m",190,21,96,"Informationstechnik","Master","ja",11,"Sonst",2001,9345,"Kleinglödnitz","K"
"w",165,21,65,"Technische Mathematik","Master","nein",0,"Sonst",2001,9013,"Klagenfurt am Wörthersee","K"
"w",170,21,56,"Betriebswirtschaft","Bachelor","nein",0,"HBLA",2001,9081,"Reifnitz","K"
"m",172,20,82,"Wirtschaft und Recht","Master","nein",0,"Ausl",2002,9842,"Mörtschach","K"
"m",175,20,75,"Psychologie","Master","nein",0,"Ausl",2002,9655,"Maria Luggau","K"
"m",157,21,54,"Medien- und Kommunikationswissenschaften","Master","nein",0,"HTL",2001,9302,"St. Veit an der Glan","K"
"m",177,20,76,"Philosophie","Bachelor","nein",0,"AHS",2002,9581,"Ledenitzen","K"
"m",178,21,66,"Medien- und Kommunikationswissenschaften","Master","ja",19,"AHS",2001,9344,"Weitensfeld","K"
"w",155,20,55,"Wirtschaft und Recht","Master","nein",0,"Ausl",2002,9530,"Bad Bleiberg","K"
"w",158,23,59,"Geographie","Master","ja",18,"HAK",1999,9073,"Klagenfurt-Viktring","K"
"w",173,23,61,"Philosophie","Master","ja",14,"AHS",1999,9022,"Klagenfurt am Wörthersee","K"
"w",166,21,57,"Romanistik","Master","nein",0,"HAK",2001,9583,"Faak am See","K"
"w",160,22,54,"Robotics and Artificial Intelligence","Bachelor","nein",0,"Ausl",2000,9815,"Kolbnitz","K"
"w",165,19,68,"Anglistik und Amerikanistik","Master","nein",0,"Ausl",2003,9771,"Berg im Drautal","K"
"m",163,20,68,"Geographie","Master","ja",10,"HAK",2002,9815,"Kolbnitz","K"
"m",183,20,68,"Germanistik","Master","nein",0,"AHS",2002,9721,"Weißenstein","K"
"w",147,19,49,"Angewandte Kulturwissenschaft","PhD","nein",0,"Ausl",2003,9501,"Villach","K"
"w",154,20,54,"Betriebswirtschaft","Bachelor","nein",0,"Ausl",2002,9802,"Spittal an der Drau","K"
"m",179,22,80,"Anglistik und Amerikanistik","Master","nein",0,"HTL",2000,9400,"Wolfsberg","K"
"w",171,22,58,"Robotics and Artificial Intelligence","Master","ja",31,"HBLA",2000,9183,"Rosenbach","K"
"w",148,18,48,"Angewandte Kulturwissenschaft","PhD","nein",0,"HBLA",2004,9614,"Vorderberg","K"
"w",167,19,70,"Geschichte","Master","nein",0,"HBLA",2003,9632,"Kirchbach","K"
"w",165,21,75,"Wirtschaft und Recht","Master","ja",9,"HAK",2001,9122,"St. Kanzian am Klopeiner See","K"
"m",174,25,78,"Technische Mathematik","Bachelor","nein",0,"Ausl",1997,9330,"Treibach-Althofen","K"
"w",157,21,56,"Anglistik und Amerikanistik","Master","ja",11,"Ausl",2001,9033,"Klagenfurt","K"
"w",155,26,76,"Philosophie","Bachelor","nein",0,"AHS",1996,9722,"Gummern","K"
"m",175,21,83,"Geschichte","Bachelor","ja",14,"HAK",2001,9713,"Zlan","K"
"m",184,19,78,"Robotics and Artificial Intelligence","Master","ja",9,"AHS",2003,9535,"Schiefling am Wörthersee","K"
"w",150,20,49,"International Business and Economics","Master","nein",0,"HBLA",2002,9020,"Klagenfurt am Wörthersee","K"
"m",166,22,61,"Medien- und Kommunikationswissenschaften","Master","ja",3,"AHS",2000,9583,"Faak am See","K"
"m",187,24,70,"Slawistik","Master","ja",21,"Ausl",1998,9713,"Zlan","K"
"w",152,22,52,"Betriebswirtschaft","Master","ja",9,"Ausl",2000,9843,"Großkirchheim","K"
"m",153,20,53,"Germanistik","PhD","nein",0,"AHS",2002,9555,"Glanegg","K"
"w",162,21,67,"Geschichte","Bachelor","ja",21,"Sonst",2001,9161,"Maria Rain","K"
"m",177,19,81,"Psychologie","Master","ja",14,"AHS",2003,9774,"Simmerlach","K"
"m",174,22,61,"Informationstechnik","Master","ja",7,"Sonst",2000,9346,"Glödnitz","K"
"m",167,26,77,"International Business and Economics","Master","nein",0,"Ausl",1996,9655,"Maria Luggau","K"
"m",177,20,67,"Wirtschaftsinformatik","PhD","ja",25,"AHS",2002,9472,"Ettendorf","K"
"m",173,24,77,"Romanistik","PhD","ja",19,"Sonst",1998,9552,"Steindorf am Ossiacher See","K"
"w",169,22,70,"Informationstechnik","Master","ja",5,"Ausl",2000,9711,"Paternion","K"
"w",164,20,54,"Philosophie","Bachelor","ja",20,"AHS",2002,9813,"Möllbrücke","K"
"m",180,20,72,"Informationstechnik","PhD","ja",15,"Sonst",2002,9560,"Feldkirchen in Kärnten","K"
"m",177,22,68,"Slawistik","PhD","ja",4,"HTL",2000,9344,"Weitensfeld","K"
"m",177,22,57,"Informationstechnik","Master","ja",5,"Ausl",2000,9423,"St. Georgen","K"
"m",180,22,82,"Angewandte Informatik","Master","nein",0,"Ausl",2000,9062,"Moosburg","K"
"w",144,21,46,"Germanistik","Bachelor","ja",10,"HAK",2001,9842,"Mörtschach","K"
"w",166,20,64,"Erziehungs- und Bildungswissenschaft","Master","nein",0,"AHS",2002,9422,"Maria Rojach","K"
"m",163,19,68,"Wirtschaftsinformatik","Master","nein",0,"HTL",2003,9580,"Villach-Drobollach am Faaker See","K"
"w",165,18,69,"Wirtschaft und Recht","Bachelor","ja",29,"Ausl",2004,9863,"Rennweg","K"
"w",173,21,65,"Wirtschaftsinformatik","Bachelor","nein",0,"Ausl",2001,9433,"St. Andrä","K"
"w",158,21,59,"Romanistik","Master","ja",7,"AHS",2001,9624,"Egg","K"
"w",156,19,55,"Germanistik","Master","ja",22,"HAK",2003,9530,"Bad Bleiberg","K"
"w",161,23,59,"Angewandte Kulturwissenschaft","Master","ja",13,"HAK",1999,9781,"Oberdrauburg","K"
"m",187,20,124,"Robotics and Artificial Intelligence","Master","nein",0,"Sonst",2002,9020,"Klagenfurt am Wörthersee","K"
"w",163,20,59,"Geographie","Master","nein",0,"Ausl",2002,9161,"Maria Rain","K"
"m",175,19,75,"Romanistik","Bachelor","nein",0,"AHS",2003,9361,"St. Salvator","K"
"m",170,20,62,"Betriebswirtschaft","Master","ja",14,"Ausl",2002,9300,"St. Veit an der Glan","K"
"m",170,23,57,"Medien- und Kommunikationswissenschaften","Bachelor","ja",22,"Ausl",1999,9562,"Himmelberg","K"
"w",161,26,74,"Angewandte Kulturwissenschaft","Bachelor","ja",16,"Ausl",1996,9423,"St. Georgen","K"
"m",161,20,55,"Wirtschaft und Recht","Master","nein",0,"HAK",2002,9112,"Griffen","K"
"w",172,20,72,"Geschichte","Bachelor","ja",15,"AHS",2002,9507,"Villach","K"
"m",171,22,97,"Anglistik und Amerikanistik","Master","nein",0,"HBLA",2000,9025,"Klagenfurt am Wörthersee","K"
"w",146,20,46,"Angewandte Kulturwissenschaft","Bachelor","ja",43,"HAK",2002,9422,"Maria Rojach","K"
"w",162,21,60,"Informationstechnik","Bachelor","ja",24,"AHS",2001,9361,"St. Salvator","K"
"m",172,23,69,"Romanistik","Bachelor","nein",0,"HAK",1999,9161,"Maria Rain","K"
"m",160,18,57,"Germanistik","Master","ja",20,"Sonst",2004,9844,"Heiligenblut","K"
"m",190,25,102,"Informationstechnik","Master","nein",0,"AHS",1997,9631,"Jenig","K"
"w",153,20,54,"Wirtschaft und Recht","PhD","nein",0,"HAK",2002,9851,"Lieserbrücke","K"
"m",163,24,68,"Germanistik","Bachelor","ja",22,"AHS",1998,9753,"Lind im Drautal","K"
"w",166,21,58,"Anglistik und Amerikanistik","Master","nein",0,"HAK",2001,9341,"Straßburg","K"
"w",170,25,59,"International Business and Economics","PhD","ja",11,"HAK",1997,9701,"Rothenthurn","K"
"m",172,22,62,"Robotics and Artificial Intelligence","Bachelor","ja",6,"Ausl",2000,9034,"Klagenfurt","K"
"w",164,23,70,"Germanistik","Master","nein",0,"Ausl",1999,9026,"Klagenfurt am Wörthersee","K"
"w",153,23,50,"Betriebswirtschaft","Master","ja",24,"HBLA",1999,9232,"Rosegg","K"
"w",170,21,79,"Technische Mathematik","Master","ja",8,"AHS",2001,9433,"St. Andrä","K"
"m",177,24,66,"Medien- und Kommunikationswissenschaften","Bachelor","ja",24,"HAK",1998,9362,"Grades","K"
"m",175,19,73,"Philosophie","Bachelor","ja",12,"HAK",2003,9652,"Birnbaum","K"
"w",168,22,71,"Slawistik","Bachelor","ja",23,"Ausl",2000,9470,"St. Paul im Lavanttal","K"
"w",170,23,53,"Wirtschaft und Recht","PhD","nein",0,"HAK",1999,9814,"Mühldorf","K"
"w",156,20,52,"Angewandte Kulturwissenschaft","PhD","nein",0,"Ausl",2002,9341,"Straßburg","K"
"w",166,22,55,"Philosophie","Master","ja",17,"HAK",2000,9013,"Klagenfurt am Wörthersee","K"
"m",166,18,85,"Slawistik","Bachelor","ja",9,"HAK",2004,9374,"Wieting","K"
"w",180,21,77,"Betriebswirtschaft","Master","ja",14,"AHS",2001,9612,"St. Georgen im Gailtal","K"
"m",178,19,85,"Technische Mathematik","Master","ja",24,"HBLA",2003,9373,"Klein St. Paul","K"
"w",162,20,89,"Germanistik","Bachelor","ja",16,"AHS",2002,9580,"Villach-Drobollach am Faaker See","K"
"m",170,21,74,"International Business and Economics","Bachelor","ja",25,"HAK",2001,9441,"Twimberg","K"
"m",172,22,81,"Geschichte","Master","nein",0,"HAK",2000,9402,"Wolfsberg, Kärnten","K"
"w",153,20,54,"Technische Mathematik","Master","ja",7,"Ausl",2002,9555,"Glanegg","K"
"w",163,24,68,"Erziehungs- und Bildungswissenschaft","Bachelor","nein",0,"HAK",1998,9507,"Villach","K"
"w",167,21,56,"Erziehungs- und Bildungswissenschaft","Bachelor","nein",0,"Ausl",2001,9330,"Treibach-Althofen","K"
"w",158,26,58,"Geschichte","Master","nein",0,"AHS",1996,9072,"Ludmannsdorf","K"
"w",155,21,54,"Anglistik und Amerikanistik","Master","ja",22,"HAK",2001,9501,"Villach","K"
"m",161,20,60,"Geschichte","Master","nein",0,"HAK",2002,9570,"Ossiach","K"
"w",167,19,62,"Robotics and Artificial Intelligence","Master","ja",8,"HAK",2003,9654,"St. Lorenzen im Lesachtal","K"
"m",177,19,82,"Technische Mathematik","Master","nein",0,"Ausl",2003,9843,"Großkirchheim","K"
"w",160,18,60,"Wirtschaftsinformatik","Master","nein",0,"Sonst",2004,9554,"St. Urban","K"
"m",170,20,86,"Betriebswirtschaft","Master","nein",0,"AHS",2002,9312,"Meiselding","K"
"w",164,20,74,"Angewandte Informatik","Master","nein",0,"HAK",2002,9346,"Glödnitz","K"
"w",151,23,50,"Romanistik","Master","ja",9,"HBLA",1999,9135,"Bad Eisenkappel","K"
"w",150,20,51,"International Business and Economics","Master","nein",0,"AHS",2002,9761,"Greifenburg","K"
"m",162,25,52,"Wirtschaftsinformatik","Master","ja",14,"HBLA",1997,9832,"Stall","K"
"m",171,27,47,"Technische Mathematik","PhD","ja",12,"HAK",1995,9634,"Gundersheim","K"
"m",180,21,90,"Germanistik","PhD","nein",0,"Ausl",2001,9821,"Obervellach","K"
"m",180,27,81,"Wirtschaftsinformatik","PhD","ja",18,"Ausl",1995,9562,"Himmelberg","K"
"w",157,22,57,"Philosophie","PhD","ja",17,"Ausl",2000,9072,"Ludmannsdorf","K"
"m",185,19,76,"International Business and Economics","Bachelor","ja",5,"HAK",2003,9586,"Fürnitz","K"
"w",153,19,52,"Psychologie","Bachelor","ja",15,"HBLA",2003,9601,"Arnoldstein","K"
"m",170,18,65,"International Business and Economics","Master","ja",17,"AHS",2004,9614,"Vorderberg","K"
"m",168,21,53,"Psychologie","Master","nein",0,"AHS",2001,9583,"Faak am See","K"
"w",163,21,56,"Philosophie","Master","ja",12,"Ausl",2001,9345,"Kleinglödnitz","K"
"w",148,21,47,"Psychologie","Bachelor","ja",9,"Ausl",2001,9633,"Reisach","K"
"m",183,21,91,"Betriebswirtschaft","Master","nein",0,"HAK",2001,9556,"Liebenfels","K"
"w",172,26,62,"Betriebswirtschaft","PhD","nein",0,"Ausl",1996,9753,"Lind im Drautal","K"
"m",182,20,85,"Philosophie","Bachelor","nein",0,"HAK",2002,9722,"Gummern","K"
"m",173,19,78,"Medien- und Kommunikationswissenschaften","Bachelor","nein",0,"AHS",2003,9531,"Kreuth","K"
"m",183,21,87,"Technische Mathematik","Master","nein",0,"HAK",2001,9653,"Liesing","K"
"m",178,19,87,"Germanistik","Master","ja",20,"AHS",2003,9313,"St. Georgen am Längsee","K"
"w",170,20,58,"Anglistik und Amerikanistik","Master","nein",0,"HBLA",2002,9010,"Klagenfurt am Wörthersee","K"
"m",175,25,63,"Angewandte Kulturwissenschaft","Master","ja",9,"HAK",1997,9601,"Arnoldstein","K"
"w",164,19,68,"Germanistik","Master","nein",0,"AHS",2003,9171,"Waidisch","K"
"m",157,22,56,"Philosophie","Master","nein",0,"HAK",2000,9853,"Gmünd","K"
"w",158,23,56,"International Business and Economics","Bachelor","nein",0,"Ausl",1999,9542,"Afritz","K"
"w",170,21,58,"Philosophie","Master","nein",0,"Ausl",2001,9422,"Maria Rojach","K"
"w",163,22,54,"Robotics and Artificial Intelligence","Bachelor","ja",6,"HBLA",2000,9026,"Klagenfurt am Wörthersee","K"
"w",152,18,52,"Geographie","PhD","nein",0,"AHS",2004,9832,"Stall","K"
"w",154,19,53,"Wirtschaftsinformatik","Bachelor","ja",23,"Ausl",2003,9161,"Maria Rain","K"
"m",170,21,86,"Geschichte","Bachelor","ja",14,"Sonst",2001,9862,"Kremsbrücke","K"
"w",179,19,73,"Wirtschaftsinformatik","Master","nein",0,"AHS",2003,9433,"St. Andrä","K"
"w",161,22,64,"Anglistik und Amerikanistik","Master","ja",14,"Sonst",2000,9541,"Einöde","K"
